stationbus,stationA,stationB,traveltime,id,stoptime
松山-新店,捷運新店區公所站,捷運新店站,111,18,25
松山-台電大樓,捷運松山站,捷運南京三民站,138,1,0
松山-台電大樓,捷運南京三民站,捷運台北小巨蛋站,102,2,27
松山-台電大樓,捷運台北小巨蛋站,捷運南京復興站,84,3,27
松山-台電大樓,捷運南京復興站,捷運松江南京站,92,4,33
松山-台電大樓,捷運松江南京站,捷運中山站,106,5,35
松山-台電大樓,捷運中山站,捷運北門站,116,6,35
松山-台電大樓,捷運北門站,捷運西門站,86,7,28
松山-台電大樓,捷運西門站,捷運小南門站,83,8,34
松山-台電大樓,捷運小南門站,捷運中正紀念堂站,76,9,27
松山-台電大樓,捷運中正紀念堂站,捷運古亭站,87,10,38
松山-台電大樓,捷運古亭站,捷運台電大樓站,85,11,33
七張-小碧潭,捷運七張站,捷運小碧潭站,203,1,0
北投-新北投,捷運北投站,捷運新北投站,157,1,0
南港展覽館-頂埔,捷運南港展覽館站,捷運南港站,112,1,0
南港展覽館-頂埔,捷運南港站,捷運昆陽站,109,2,24
南港展覽館-頂埔,捷運昆陽站,捷運後山埤站,107,3,25
南港展覽館-頂埔,捷運後山埤站,捷運永春站,76,4,29
南港展覽館-頂埔,捷運永春站,捷運市政府站,87,5,25
南港展覽館-頂埔,捷運市政府站,捷運國父紀念館站,77,6,28
南港展覽館-頂埔,捷運國父紀念館站,捷運忠孝敦化站,71,7,28
南港展覽館-頂埔,捷運忠孝敦化站,捷運忠孝復興站,65,8,28
南港展覽館-頂埔,捷運忠孝復興站,捷運忠孝新生站,90,9,40
南港展覽館-頂埔,捷運忠孝新生站,捷運善導寺站,81,10,40
南港展覽館-頂埔,捷運善導寺站,捷運台北車站,66,11,25
南港展覽館-頂埔,捷運台北車站,捷運西門站,120,12,42
南港展覽館-頂埔,捷運西門站,捷運龍山寺站,110,13,35
南港展覽館-頂埔,捷運龍山寺站,捷運江子翠站,192,14,29
南港展覽館-頂埔,捷運江子翠站,捷運新埔站,77,15,28
南港展覽館-頂埔,捷運新埔站,捷運板橋站,107,16,28
